Metric,Collapsed_Mean,NonCollapsed_Mean,Collapsed_Median,NonCollapsed_Median
radar_score,69.92214285714286,63.226024096385544,71.675,62.42
radar_confidence,40.8547619047619,61.44578313253013,34.535,65.52
first_market_cap,11713082.452380951,4912590.65060241,3525585.0,63670.0
first_liquidity,180781.42880952382,69936.82144578313,136508.95,17814.22
first_volume_24h,120725.41047619046,297223.7036144578,85289.95000000001,90124.26
