audit_id,position_id,mint_address,entry_at,exit_at,entry_price,exit_price,net_return_pct,entry_liquidity_usd,exit_liquidity_usd,entry_market_cap,opened_at,entry_rank,entry_volume_24h,snapshot_liquidity_usd,mfe_pct,mae_pct,mfe_time,mae_time,is_collapse,path_length,volume_24h_to_liquidity
10aa7c01-0c6a-4ca1-8244-8bafcb12ead6,53f6ca1e-2d67-496b-a22f-56ebc9a51224,5mPVUc7pDVZnJx28vrZFwYQcsMqqWsoW3QWdNTmZpump,2026-08-05 13:05:00.010750+00:00,2026-08-05 16:51:49.307334+00:00,3.396e-05,4.9215e-05,40.0452,13180.95,16012.58,32024.0,2026-08-05 13:05:00.010750+00:00,10,91680.48,13180.95,93.22732626619552,-8.392226148409899,2026-08-05 16:13:56.682074+00:00,2026-08-05 14:28:50.149114+00:00,False,203.0,6.95552900208255
fb47b555-b088-4a36-b258-b731c118ee49,557309ce-c613-4653-9516-1a273aa5991f,EwwGk4WmevQ7mzX5caz7UCcj9HTGCcW519NCKMWTpump,2026-08-05 16:51:50.067837+00:00,2026-08-05 18:25:13.358243+00:00,0.05685,0.04641,-28.9682,543841.03,1329.9,56854335.0,2026-08-05 16:51:50.067837+00:00,2,279424.5,543841.03,8.847845206684257,-99.99769041336852,2026-08-05 18:24:53.788290+00:00,2026-08-05 18:25:13.358243+00:00,True,65.0,0.5137981222196494
6671b612-5858-4326-b13b-9dcbb5be319a,82a8953e-973e-4334-a757-1c1712b488c3,Pi4QesT6bd9HHMSTkBuz7wHXYxHEQCZMkZrAbU6pump,2026-08-05 16:51:50.067837+00:00,2026-08-05 18:24:52.500302+00:00,0.08251,0.080175,-15.902,656320.73,1516.78,82508553.0,2026-08-05 16:51:50.067837+00:00,1,441857.03,656320.73,29.56005332686946,-99.99817597866925,2026-08-05 17:53:04.510915+00:00,2026-08-05 18:24:52.500302+00:00,True,64.0,0.6732333900225885
4bf28ea7-e52e-4d1c-a16b-659fa06b8c97,fc8d80c5-1b18-4711-b846-955f44be3c20,m7dCz1i6eYa29ruvn4JJR7Ye5H5EVK7NbP99LFFpump,2026-08-05 06:50:00.024333+00:00,2026-08-05 19:00:09.546070+00:00,0.007854,0.0082425,-12.2683,201413.42,1334.95,7852850.0,2026-08-05 06:50:00.024333+00:00,5,155039.64,201413.42,39.928698752228165,-99.98325693913928,2026-08-05 18:59:53.024630+00:00,2026-08-05 19:00:09.546070+00:00,True,566.0,0.7697582415312744
9eb73993-5c99-44c2-8c1f-5cac8f0c58ea,c2a7f036-8110-46cf-a710-a77558351c0b,mFygiaBQTAH2GH2z4PDwjZcyAM79LNc99wD2KHmpump,2026-08-05 08:55:00.115229+00:00,2026-08-05 21:56:22.746757+00:00,0.0047,0.00611025,23.3631,155383.68,5804.59,4698739.0,2026-08-05 08:55:00.115229+00:00,1,88758.73,155383.68,73.34042553191487,-99.82172340425531,2026-08-05 20:43:55.574202+00:00,2026-08-05 21:56:22.746757+00:00,True,500.0,0.5712229881542257
cdedc45b-b66e-4547-bbe3-eb7fa6cb8a1f,b1791da1-f486-4140-96bf-049107802856,2YxEmTED9G5ZpxwfBHuVzPVQ4TfMYTAjMo5Tx1WApump,2026-08-05 07:10:00.071061+00:00,2026-08-05 21:56:19.116411+00:00,0.0004574,0.0005331,14.997,51019.48,53118.4,449614.0,2026-08-05 07:10:00.071061+00:00,8,618743.3,51019.48,55.40008745080892,-5.902929602098821,2026-08-05 18:24:53.788290+00:00,2026-08-05 07:16:57.996166+00:00,False,526.0,12.127589305104639
6f15b7aa-e4fa-44a3-8128-283210812935,2463e3ab-7dee-4a2c-9fd6-6b1d830721d4,BJe2XQMc22wQvwbXr1ai8QfymiP6AwQzcRBu3PEfpump,2026-08-05 08:55:00.115229+00:00,2026-08-05 22:15:57.159250+00:00,0.02182,0.0239175,-8.8388,336336.03,1352.79,21823759.0,2026-08-05 08:55:00.115229+00:00,2,187668.54,336336.03,46.15032080659947,-99.99388175985334,2026-08-05 21:58:29.439915+00:00,2026-08-05 22:15:57.159250+00:00,True,506.0,0.5579792923166751
247ec5c3-2e08-4c0b-bd2d-f6f8fc6d12f3,4dc69af1-804c-4712-9df9-b8b175785d23,2sQ7wuUtRWNir3CEu9HWfLDSut4AszDrcZXLobzJpump,2026-08-05 18:59:58.079243+00:00,2026-08-06 01:00:48.192591+00:00,0.0005789,0.0009525,62.5804,55240.58,67670.72,549537.0,2026-08-05 18:59:58.079243+00:00,10,301954.32,55240.58,119.38158576610813,0.0,2026-08-05 23:14:58.418771+00:00,2026-08-05 19:00:10.026167+00:00,False,41.0,5.466168530453518
92dd954c-40c5-496a-9a63-db2502d85507,593995dc-d2b0-4028-9ef9-62e2bf0ffdfc,5SUcWZYjXh9HTLoqP8pGFck34Y7QHrZZijwXY6cNpump,2026-08-05 21:57:04.028214+00:00,2026-08-06 05:52:32.922608+00:00,4.499e-06,3.77775e-06,-28.2434,3572.63,2326.21,4304.0,2026-08-05 21:57:04.028214+00:00,12,31746.99,3572.63,11.958212936208062,-44.521004667703934,2026-08-05 21:57:20.485543+00:00,2026-08-06 05:52:32.922608+00:00,False,23.0,8.886167893120755
65f159f5-dfa0-49ea-b201-cac8d58fc320,c7ac33a8-282c-446b-82bc-5f0deb858f7a,535ES1hrVy9SwLUkouawQeoXSkPB2zGXhTU222enbZWU,2026-08-05 21:57:04.028214+00:00,2026-08-06 07:40:29.794631+00:00,0.0001511,0.000139875,-9.4255,26928.42,25343.8,149818.0,2026-08-05 21:57:04.028214+00:00,11,49680.53,26928.42,23.428193249503657,-13.236267372600926,2026-08-06 07:32:20.717043+00:00,2026-08-06 02:02:37.891892+00:00,False,206.0,1.8449106928664958
